Estrutura Utilizada: chained
Tamanho da tabela: 5315 palavras
Tempo para finalizar a tabela (em milissegundos): 27 milissegundos
Quantidade de comparações: 105718

Dicionário de Palavras:

|------------------------------|
| Palavra         | Frequência |
|-----------------|------------|
| a               | 1796       |
| à               | 1          |
| aback           | 1          |
| abed            | 1          |
| abide           | 3          |
| abiding         | 1          |
| able            | 4          |
| abnormal        | 1          |
| about           | 374        |
| above           | 7          |
| absence         | 2          |
| absent-mindedly | 1          |
| absorbed        | 3          |
| absorbing       | 1          |
| abundant        | 1          |
| accent          | 1          |
| accept          | 1          |
| accepted        | 2          |
| accepting       | 2          |
| access          | 10         |
| accessed        | 1          |
| accessible      | 1          |
| accident        | 1          |
| accidentally    | 2          |
| accord          | 1          |
| accordance      | 2          |
| accordingly     | 1          |
| accused         | 1          |
| accustomed      | 4          |
| ache            | 1          |
| ached           | 3          |
| aches           | 3          |
| acquaintance    | 1          |
| across          | 32         |
| act             | 2          |
| actin           | 5          |
| acting          | 1          |
| actions         | 1          |
| active          | 2          |
| activity        | 1          |
| actual          | 3          |
| actually        | 37         |
| added           | 10         |
| addition        | 2          |
| additional      | 3          |
| additions       | 1          |
| address         | 1          |
| addresses       | 1          |
| administration  | 1          |
| admiration      | 1          |
| admire          | 1          |
| admiringly      | 3          |
| admitted        | 3          |
| adorably        | 1          |
| adoration       | 1          |
| adored          | 1          |
| advance         | 1          |
| adventures      | 1          |
| advice          | 2          |
| advised         | 1          |
| affair          | 1          |
| affairs         | 1          |
| affectation     | 1          |
| affected        | 1          |
| affection       | 1          |
| affectionate    | 3          |
| afford          | 1          |
| afore           | 3          |
| afraid          | 32         |
| after           | 92         |
| afternoon       | 27         |
| afternoons      | 1          |
| afterward       | 14         |
| again           | 119        |
| against         | 31         |
| agate           | 2          |
| age             | 1          |
| agen            | 2          |
| agent           | 1          |
| ages            | 1          |
| agitated        | 1          |
| ago             | 20         |
| agree           | 10         |
| agreeable       | 5          |
| agreed          | 3          |
| agreement       | 18         |
| agrees          | 3          |
| ahead           | 1          |
| ails            | 3          |
| air             | 56         |
| ajar            | 1          |
| alarm           | 2          |
| alarmed         | 3          |
| alcoves         | 6          |
| alert           | 1          |
| alighted        | 3          |
| alike           | 2          |
| alive           | 40         |
| all             | 336        |
| all-perceiving  | 1          |
| allow           | 5          |
| allowed         | 5          |
| allus           | 4          |
| almost          | 83         |
| alone           | 16         |
| along           | 14         |
| aloud           | 6          |
| already         | 12         |
| also            | 29         |
| alter           | 2          |
| alteration      | 1          |
| alternate       | 1          |
| alternately     | 1          |
| always          | 107        |
| am              | 121        |
| amazed          | 2          |
| amazement       | 3          |
| amazing         | 6          |
| amazingly       | 1          |
| amen            | 2          |
| amid            | 1          |
